pair,2-6h,6-18h,18-30h (diurnal),2-7d,7-14d
park03_outside18_2021,0.116952228964496,0.33763076631446226,0.5361166192528253,0.6397815997153353,0.4955175003183902
park09_outside26_2021,0.12699643802316518,0.3817153239355179,0.6638744122018109,0.7743850557086696,0.755656553949521
park11_outside09_2021,0.13282029787679694,0.397870212729468,0.6785494551579362,0.7267498701628522,0.6107768151420923
park12_outside18_2021,0.11857110850717426,0.3333532998354453,0.5366304247481187,0.6399556659612423,0.494695689691509
park13_outside18_2021,0.1183502820090439,0.3326084617277775,0.516038291371524,0.6258391395360181,0.48639695582573816
park16_outside28_2021,0.17547454225044126,0.39932871444295553,0.5915723902664227,0.48999496497163075,0.37749627354752213
park18_outside32_2021,0.1608824442477921,0.3981649428832555,0.5707523965027963,0.4669044068985659,0.3017085851121647
park20_outside30_2021,0.12879081658748678,0.3930064713574331,0.6348186589786456,0.7421388473064182,0.7056937857174072
