pair,2-6h,6-18h,18-30h (diurnal),2-7d,7-14d
park03_outside18_2021,-5.845736998477304,-6.179424329005272,-3.833856485290581,-8.026359951788374,-7.296261750991374
park09_outside26_2021,-1.20308447666836,-4.572374205797732,-3.101011455439227,-3.1686749853993414,-2.275875300390311
park11_outside09_2021,0.5010199766529175,-2.956140364152523,-3.176116290899055,-5.037075667645395,-4.226071854388313
park12_outside18_2021,-6.313790604973549,-6.365204250128921,-3.832458684643945,-7.941377042636448,-7.8289733686835
park13_outside18_2021,-5.93551129580722,-6.370960446710415,-3.7076126647424017,-8.085362099356194,-7.757659042134854
park16_outside28_2021,-3.8059119795369245,-9.936141257023289,-12.254248532314211,-23.529268869376295,-27.361742332101723
park18_outside32_2021,-4.5711320461289064,-10.42425779796482,-12.962391952062505,-19.607232113349305,-19.611365769582953
park20_outside30_2021,2.7133673459680843,-1.6226612760527406,-0.4886932347521713,-2.3958065134826825,-1.8503599848462422
