pair,n_scales,n_time,valid_fraction,mean_coherence_R2,smooth_time_h,smooth_scale_bins
park03_outside18_2021,60,8712,0.993801652892562,0.42636612900462123,24,3
park09_outside26_2021,60,8712,0.9871441689623508,0.5283193168279942,24,3
park11_outside09_2021,60,8712,0.9971303948576676,0.5027536273900541,24,3
park12_outside18_2021,60,8712,0.9963269054178145,0.42526711307823045,24,3
park13_outside18_2021,60,8712,0.9995408631772268,0.4184496563687162,24,3
park16_outside28_2021,60,8712,0.9955234159779615,0.4015805667953856,24,3
park18_outside32_2021,60,8712,0.9918503213957759,0.37796934778114694,24,3
park20_outside30_2021,60,8712,0.9733700642791552,0.5125953083734396,24,3
