pair,n_time,period_min_h,period_max_h,valid_fraction,mean_attenuation_db
park03_outside18_2021,8712,2,336,0.993801652892562,-6.622743768924993
park09_outside26_2021,8712,2,336,0.9871441689623508,-2.94777669396528
park11_outside09_2021,8712,2,336,0.9971303948576676,-3.0359966591415284
park12_outside18_2021,8712,2,336,0.9963269054178145,-6.820682319181973
park13_outside18_2021,8712,2,336,0.9995408631772268,-6.755268338515373
park16_outside28_2021,8712,2,336,0.9955234159779615,-15.173054622327177
park18_outside32_2021,8712,2,336,0.9918503213957759,-13.420507886442813
park20_outside30_2021,8712,2,336,0.9733700642791552,-0.8265998912130521
