feature,target,spearman_rho,p_value,n,abs_rho
dWATER_FRAC_mid_minus_outer,coh_6-18h,0.8095238095238096,0.014902667686230067,8,0.8095238095238096
dWATER_FRAC_mid_minus_outer,coh_short,0.8095238095238096,0.014902667686230067,8,0.8095238095238096
out_MNDWI_core_minus_outer,att_2-6h,0.80511756018254,0.015904562291661397,8,0.80511756018254
out_MNDWI_core_minus_outer,coh_2-6h,0.7563225565351133,0.029884378812178862,8,0.7563225565351133
out_MNDWI_core_minus_outer,coh_6-18h,0.7563225565351133,0.029884378812178862,8,0.7563225565351133
out_MNDWI_core_minus_outer,coh_short,0.7563225565351133,0.029884378812178862,8,0.7563225565351133
out_NDWI_core_minus_outer,coh_2-6h,0.7563225565351133,0.029884378812178862,8,0.7563225565351133
out_NDWI_core_minus_outer,coh_6-18h,0.7563225565351133,0.029884378812178862,8,0.7563225565351133
out_NDWI_core_minus_outer,coh_short,0.7563225565351133,0.029884378812178862,8,0.7563225565351133
WATER_FRAC_contrast_persistence,coh_6-18h,0.7380952380952381,0.03655276105286081,8,0.7380952380952381
WATER_FRAC_contrast_persistence,coh_short,0.7380952380952381,0.03655276105286081,8,0.7380952380952381
dWATER_FRAC_mid_minus_outer,coh_2-6h,0.6904761904761906,0.057990318164572716,8,0.6904761904761906
MNDWI_contrast_persistence,coh_2-6h,-0.6666666666666669,0.07098765432098751,8,0.6666666666666669
NDWI_contrast_persistence,coh_2-6h,-0.6666666666666669,0.07098765432098751,8,0.6666666666666669
dMNDWI_inner_minus_outer,coh_2-6h,-0.6666666666666669,0.07098765432098751,8,0.6666666666666669
out_MNDWI_core_minus_outer,coh_18-30h (diurnal),0.6587325492402599,0.0756667914858492,8,0.6587325492402599
out_MNDWI_core_minus_outer,coh_diurnal,0.6587325492402599,0.0756667914858492,8,0.6587325492402599
dMNDWI_ring_0_250,coh_2-6h,-0.6428571428571429,0.08555889101267318,8,0.6428571428571429
dWATER_FRAC_mid_minus_outer,att_2-6h,0.6428571428571429,0.08555889101267318,8,0.6428571428571429
park_NDWI_core_minus_outer,att_2-6h,0.6428571428571429,0.08555889101267318,8,0.6428571428571429
wet_core_advantage,coh_2-6h,-0.6428571428571429,0.08555889101267318,8,0.6428571428571429
dWATER_FRAC_ring_500_1000,att_2-6h,-0.6190476190476191,0.1017330374542646,8,0.6190476190476191
park_MNDWI_core_minus_outer,att_2-6h,0.6190476190476191,0.1017330374542646,8,0.6190476190476191
park_NDWI_core_minus_outer,coh_6-18h,0.6190476190476191,0.1017330374542646,8,0.6190476190476191
park_NDWI_core_minus_outer,coh_short,0.6190476190476191,0.1017330374542646,8,0.6190476190476191
surface_water_outer_advantage,att_2-6h,-0.6190476190476191,0.1017330374542646,8,0.6190476190476191
dWATER_FRAC_ring_250_500,coh_18-30h (diurnal),0.5952380952380953,0.11952980613879259,8,0.5952380952380953
dWATER_FRAC_ring_250_500,coh_2-6h,0.5952380952380953,0.11952980613879259,8,0.5952380952380953
dWATER_FRAC_ring_250_500,coh_diurnal,0.5952380952380953,0.11952980613879259,8,0.5952380952380953
surface_water_mid_advantage,coh_18-30h (diurnal),0.5952380952380953,0.11952980613879259,8,0.5952380952380953
surface_water_mid_advantage,coh_2-6h,0.5952380952380953,0.11952980613879259,8,0.5952380952380953
surface_water_mid_advantage,coh_diurnal,0.5952380952380953,0.11952980613879259,8,0.5952380952380953
out_WATER_FRAC_core_minus_outer,att_6-18h,0.5855400437691199,0.1272465898637207,8,0.5855400437691199
out_WATER_FRAC_core_minus_outer,att_short,0.5855400437691199,0.1272465898637207,8,0.5855400437691199
dMNDWI_mid_minus_outer,coh_2-6h,-0.5714285714285715,0.13895995716070667,8,0.5714285714285715
dNDWI_mid_minus_outer,coh_2-6h,-0.5714285714285715,0.13895995716070667,8,0.5714285714285715
out_NDWI_core_minus_outer,coh_18-30h (diurnal),0.5611425419454067,0.14786012226893985,8,0.5611425419454067
out_NDWI_core_minus_outer,coh_diurnal,0.5611425419454067,0.14786012226893985,8,0.5611425419454067
