pair,wavelet,n_scales,n_time,valid_fraction,mean_coherence_R2,smooth_time_h,smooth_scale_bins
park03_outside18_2021,cmor1.5-1.0,60,8712,0.993801652892562,0.5673669423893959,24,3
park09_outside26_2021,cmor1.5-1.0,60,8712,0.9871441689623508,0.6767084452767312,24,3
park11_outside09_2021,cmor1.5-1.0,60,8712,0.9971303948576676,0.6280765764724243,24,3
park12_outside18_2021,cmor1.5-1.0,60,8712,0.9963269054178145,0.563719917175985,24,3
park13_outside18_2021,cmor1.5-1.0,60,8712,0.9995408631772268,0.5594976464146524,24,3
park16_outside28_2021,cmor1.5-1.0,60,8712,0.9955234159779615,0.5370250113913922,24,3
park18_outside32_2021,cmor1.5-1.0,60,8712,0.9918503213957759,0.49782287472152253,24,3
park20_outside30_2021,cmor1.5-1.0,60,8712,0.9733700642791552,0.6617501255970095,24,3
