pair,wavelet,2-6h,6-18h,18-30h (diurnal),2-7d,7-14d
park03_outside18_2021,cmor1.5-1.0,0.26305445861752064,0.5674791711499001,0.7512489736998137,0.7245039969983744,0.5225495320705098
park09_outside26_2021,cmor1.5-1.0,0.3050324958385252,0.61571069240322,0.8488774954063892,0.8499738352188545,0.8312032047154649
park11_outside09_2021,cmor1.5-1.0,0.28119046772017336,0.5960380080395468,0.8344591035948193,0.8086992875882437,0.6361235547816089
park12_outside18_2021,cmor1.5-1.0,0.25210661419892916,0.5569538339665749,0.7482503485105892,0.7294746231558256,0.5244933318748017
park13_outside18_2021,cmor1.5-1.0,0.2466577070045274,0.5572635670473398,0.7408813137518567,0.7212674470730729,0.5214666480362485
park16_outside28_2021,cmor1.5-1.0,0.285696139721485,0.5579753383729793,0.7397155692110966,0.6474494955346974,0.4508977727257554
park18_outside32_2021,cmor1.5-1.0,0.2711891932228871,0.5511618757629773,0.7455812750016396,0.5850237426846591,0.3180804219402919
park20_outside30_2021,cmor1.5-1.0,0.28312835136706543,0.6227599545947378,0.8168772082717727,0.8407099099497316,0.7968316127327362
