year,file,status,tier_prelim,out_file,raw_time_min,raw_time_max,n_times_before_cutoff,time_ok,whole_hour_rows,unique_time_rows,step_1h_count,step_1d_count,hourly_step_frac,daily_step_frac,median_step,expected_hours,pm25_nonnull,pm25_na,pm25_na_frac,coverage_frac_of_year,pm25_negative,nonnull_run_count,longest_nonnull_run_hours,longest_nonnull_run_days,median_nonnull_run_hours,note
2022,outside_26.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2022/outside_26_2022_hourly.csv,2021-01-01 00:00:00+07:00,2024-01-02 00:00:00+07:00,,9492.0,9492.0,9492.0,8760.0,731.0,0.922979664945738,0.07702033505426194,0 days 01:00:00,8760.0,365.0,8395.0,0.9583333333333334,0.041666666666666664,0.0,365.0,1.0,0.041666666666666664,1.0,
2023,outside_26.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2023/outside_26_2023_hourly.csv,2021-01-01 00:00:00+07:00,2024-01-02 00:00:00+07:00,,9492.0,9492.0,9492.0,8760.0,731.0,0.922979664945738,0.07702033505426194,0 days 01:00:00,8760.0,365.0,8395.0,0.9583333333333334,0.041666666666666664,0.0,365.0,1.0,0.041666666666666664,1.0,
2021,outside_27.csv,BROKEN_TIME_1970,,,1970-01-01 00:00:00.000000001+07:00,1970-01-01 00:00:00.000000744+07:00,744.0,,,,,,,,,,,,,,,,,,,re-ingest from Excel needed
2022,outside_27.csv,BROKEN_TIME_1970,,,1970-01-01 00:00:00.000000001+07:00,1970-01-01 00:00:00.000000744+07:00,744.0,,,,,,,,,,,,,,,,,,,re-ingest from Excel needed
2023,outside_27.csv,BROKEN_TIME_1970,,,1970-01-01 00:00:00.000000001+07:00,1970-01-01 00:00:00.000000744+07:00,744.0,,,,,,,,,,,,,,,,,,,re-ingest from Excel needed
2021,outside_28.csv,OK,Tier B,analysis/data_processed/outside_hourly_clean_yearscan/2021/outside_28_2021_hourly.csv,2021-01-01 00:00:00+07:00,2024-01-02 00:00:00+07:00,,9127.0,9127.0,9127.0,8759.0,366.0,0.9597852290159983,0.040105193951347796,0 days 01:00:00,8760.0,8625.0,135.0,0.015410958904109588,0.9845890410958904,105.0,36.0,1786.0,74.41666666666667,112.5,
2022,outside_28.csv,NO_DATA_IN_WINDOW,,,2021-01-01 00:00:00+07:00,2024-01-02 00:00:00+07:00,,9127.0,9127.0,9127.0,8759.0,366.0,0.9597852290159983,0.040105193951347796,0 days 01:00:00,,,,,,,,,,,
2023,outside_28.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2023/outside_28_2023_hourly.csv,2021-01-01 00:00:00+07:00,2024-01-02 00:00:00+07:00,,9127.0,9127.0,9127.0,8759.0,366.0,0.9597852290159983,0.040105193951347796,0 days 01:00:00,8760.0,364.0,8396.0,0.9584474885844749,0.041552511415525115,0.0,364.0,1.0,0.041666666666666664,1.0,
2021,outside_29.csv,BROKEN_TIME_1970,,,1970-01-01 00:00:00.000000001+07:00,1970-01-01 00:00:00.000000744+07:00,744.0,,,,,,,,,,,,,,,,,,,re-ingest from Excel needed
2022,outside_29.csv,BROKEN_TIME_1970,,,1970-01-01 00:00:00.000000001+07:00,1970-01-01 00:00:00.000000744+07:00,744.0,,,,,,,,,,,,,,,,,,,re-ingest from Excel needed
2023,outside_29.csv,BROKEN_TIME_1970,,,1970-01-01 00:00:00.000000001+07:00,1970-01-01 00:00:00.000000744+07:00,744.0,,,,,,,,,,,,,,,,,,,re-ingest from Excel needed
2021,outside_30.csv,OK,Tier B,analysis/data_processed/outside_hourly_clean_yearscan/2021/outside_30_2021_hourly.csv,2021-01-01 00:00:00+07:00,2024-01-02 00:00:00+07:00,,9492.0,9492.0,9492.0,8760.0,731.0,0.922979664945738,0.07702033505426194,0 days 01:00:00,8760.0,8497.0,263.0,0.03002283105022831,0.9699771689497717,0.0,23.0,1796.0,74.83333333333333,161.0,
2022,outside_30.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2022/outside_30_2022_hourly.csv,2021-01-01 00:00:00+07:00,2024-01-02 00:00:00+07:00,,9492.0,9492.0,9492.0,8760.0,731.0,0.922979664945738,0.07702033505426194,0 days 01:00:00,8760.0,365.0,8395.0,0.9583333333333334,0.041666666666666664,0.0,365.0,1.0,0.041666666666666664,1.0,
2023,outside_30.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2023/outside_30_2023_hourly.csv,2021-01-01 00:00:00+07:00,2024-01-02 00:00:00+07:00,,9492.0,9492.0,9492.0,8760.0,731.0,0.922979664945738,0.07702033505426194,0 days 01:00:00,8760.0,363.0,8397.0,0.9585616438356165,0.041438356164383565,2.0,363.0,1.0,0.041666666666666664,1.0,
